City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Husavik,IS,66.0449,-17.3389,6.71,80,96,17.38,overcast clouds
120,Barraute,CA,48.4335,-77.6328,-23.53,98,42,1.86,scattered clouds
121,Vao,NC,-22.6667,167.4833,80.35,81,99,14.54,overcast clouds
122,Torbay,CA,47.6666,-52.7314,30.58,87,100,10.36,light snow
123,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,75,8.95,broken clouds
124,Grand Baie,MU,-20.0182,57.5802,82.45,78,100,10.0,overcast clouds
125,Narsaq,GL,60.9167,-46.05,13.96,94,100,6.6,light snow
126,Egvekinot,RU,66.3167,-179.1667,-18.9,90,12,7.63,few clouds
127,Takoradi,GH,4.8845,-1.7554,78.15,86,100,5.61,overcast clouds
128,Omsukchan,RU,62.5333,155.8,-16.29,96,42,5.3,scattered clouds
129,Mata,PT,40.683,-7.4592,44.6,98,33,3.83,scattered clouds
130,Mount Isa,AU,-20.7333,139.5,91.17,29,40,10.36,scattered clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,75,10.36,broken clouds
132,Verkhnyaya Toyma,RU,62.2349,44.9985,15.78,95,100,8.55,light snow
133,Koumac,NC,-20.5667,164.2833,85.26,71,100,9.4,overcast clouds
134,Cayenne,GF,4.9333,-52.3333,77.09,90,97,5.99,overcast clouds
135,Chiredzi,ZW,-21.05,31.6667,65.12,65,1,1.99,clear sky
136,Sangar,RU,63.9242,127.4739,-23.71,93,87,2.44,overcast clouds
137,Sao Filipe,CV,14.8961,-24.4956,72.95,68,87,10.83,overcast clouds
138,Noumea,NC,-22.2763,166.4572,91.38,99,100,17.29,overcast clouds
139,Georgetown,MY,5.4112,100.3354,87.73,72,20,4.61,few clouds
140,Aklavik,CA,68.2191,-135.0107,-24.77,97,100,11.74,overcast clouds
141,Hami,CN,42.8,93.45,28.87,39,17,7.61,few clouds
142,Flin Flon,CA,54.7682,-101.865,-11.6,98,88,4.5,overcast clouds
143,Klaksvik,FO,62.2266,-6.589,32.92,64,100,26.98,overcast clouds
144,Komsomolskiy,UZ,40.4272,71.7189,40.35,81,100,4.61,mist
145,Opuwo,NA,-18.0607,13.84,67.32,89,100,3.69,moderate rain
146,Rocky Mountain House,CA,52.3668,-114.9188,33.55,69,100,5.75,overcast clouds
147,Hadejia,NG,12.4498,10.0444,65.82,14,0,8.46,clear sky
148,Ilulissat,GL,69.2167,-51.1,-7.2,96,100,9.71,overcast clouds
149,Dayong,CN,25.0209,118.2898,62.28,82,96,4.32,overcast clouds
150,Copala,MX,16.65,-98.9833,77.47,68,84,1.72,broken clouds
151,Bluff,NZ,-46.6,168.3333,59.2,63,100,6.8,overcast clouds
152,Carnarvon,AU,-24.8667,113.6333,86.07,74,6,12.66,clear sky
153,Energeticheskiy,KZ,43.4278,77.0222,25.36,93,100,2.24,mist
154,Ponta Do Sol,PT,32.6667,-17.1,61.05,73,94,1.77,overcast clouds
155,Dzhebariki-Khaya,RU,62.2167,135.8,-20.34,91,75,0.74,broken clouds
156,General Roca,AR,-39.0333,-67.5833,70.2,15,19,9.71,light rain
157,Anloga,GH,5.7947,0.8973,80.82,82,100,12.75,overcast clouds
158,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,97,2.68,overcast clouds
159,Shenzhen,CN,22.5455,114.0683,68.94,74,17,9.33,few clouds
160,Port Elizabeth,ZA,-33.918,25.5701,66.49,100,75,4.61,light rain
161,Cortez,US,37.3489,-108.5859,39.7,40,0,4.18,clear sky
162,Qandala,SO,11.472,49.8728,73.53,67,84,3.76,broken clouds
163,Bairiki,KI,1.3292,172.9752,87.8,62,20,8.05,few clouds
164,Ishigaki,JP,24.3448,124.1572,64.53,82,75,17.27,broken clouds
165,Zunyi,CN,27.6867,106.9072,45.86,70,20,4.23,few clouds
166,Kishapu,TZ,-3.6167,33.8667,64.24,96,92,3.29,moderate rain
167,Salalah,OM,17.0151,54.0924,67.53,24,2,18.05,clear sky
168,Nampula,MZ,-15.1165,39.2666,71.55,94,75,0.0,broken clouds
169,Badnawar,IN,23.0167,75.2167,63.27,29,0,8.7,clear sky
170,Bullhead City,US,35.1478,-114.5683,68.61,12,0,5.01,clear sky
171,Rocha,UY,-34.4833,-54.3333,58.17,62,25,8.28,scattered clouds
172,Mae Ramat,TH,16.984,98.5166,75.52,22,27,1.79,scattered clouds
173,Fortuna,US,40.5982,-124.1573,52.41,95,100,0.0,overcast clouds
174,Angoche,MZ,-16.2325,39.9086,76.66,91,94,4.85,overcast clouds
175,Rio Gallegos,AR,-51.6226,-69.2181,39.25,60,0,10.36,clear sky
176,Pisco,PE,-13.7,-76.2167,68.05,77,0,9.22,clear sky
177,Shimoda,JP,34.6667,138.95,44.96,60,100,14.97,light rain
178,Methoni,GR,36.8197,21.7049,52.21,79,23,1.77,few clouds
179,Nata,PA,8.3333,-80.5167,76.46,75,38,5.39,scattered clouds
180,Port Keats,AU,-14.25,129.55,89.47,56,84,2.1,broken clouds
181,Yulara,AU,-25.2406,130.9889,96.64,9,4,12.66,clear sky
182,Palmer,US,42.1584,-72.3287,25.63,56,100,9.22,overcast clouds
183,Mumbwa,ZM,-14.9783,27.0619,64.29,94,97,3.18,overcast clouds
184,Moerai,PF,-22.4333,-151.3333,78.58,75,100,19.3,light rain
185,Tiarei,PF,-17.5333,-149.3333,80.62,77,85,15.59,light rain
186,Ghanzi,BW,-21.5667,21.7833,67.28,75,17,3.96,few clouds
187,Paamiut,GL,61.994,-49.6678,8.96,88,100,17.11,overcast clouds
188,Dunedin,NZ,-45.8742,170.5036,61.81,61,86,11.01,overcast clouds
189,Sisimiut,GL,66.9395,-53.6735,-0.65,89,99,14.92,overcast clouds
190,Lompoc,US,34.6391,-120.4579,63.57,97,100,0.0,fog
191,Nishihara,JP,26.1842,127.7558,64.45,94,100,13.8,mist
192,Krasnoselkup,RU,65.7,82.4667,-2.79,92,51,15.14,broken clouds
193,Dikson,RU,73.5069,80.5464,-5.8,91,70,22.32,broken clouds
194,Codrington,AU,-38.2667,141.9667,71.42,60,19,11.79,few clouds
195,Kruisfontein,ZA,-34.0033,24.7314,64.63,86,100,13.22,light rain
196,Kashi,CN,39.4547,75.9797,31.21,47,0,6.71,clear sky
197,Lavrentiya,RU,65.5833,-171.0,-21.24,93,12,5.17,few clouds
198,Saint-Georges,GD,12.0564,-61.7485,76.68,83,20,4.61,few clouds
199,Hay River,CA,60.8156,-115.7999,-9.42,77,75,8.05,broken clouds
200,Adrar,MR,20.5022,-10.0711,58.77,26,98,10.76,overcast clouds
201,Mehamn,NO,71.0357,27.8492,17.55,86,75,13.8,broken clouds
202,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,51,0,14.97,clear sky
203,Saint-Francois,FR,46.4154,3.9054,50.68,62,0,13.8,clear sky
204,Valdivia,CL,-39.8142,-73.2459,55.49,97,69,1.3,broken clouds
205,Kamenka,RU,51.3223,42.7678,5.67,97,74,6.04,broken clouds
206,Junction City,US,39.0286,-96.8314,31.86,48,0,3.44,clear sky
207,Peterhead,GB,57.5058,-1.7981,43.2,88,100,14.14,overcast clouds
208,Campo Grande,BR,-20.4428,-54.6464,80.15,57,0,4.61,clear sky
209,Huarmey,PE,-10.0681,-78.1522,72.39,79,91,7.49,overcast clouds
210,Acajutla,SV,13.5928,-89.8275,81.81,60,0,9.31,clear sky
211,Kaitangata,NZ,-46.2817,169.8464,59.94,73,99,7.29,overcast clouds
212,Bhainsa,IN,26.9548,76.9012,63.0,39,0,3.65,clear sky
213,Port Macquarie,AU,-31.4333,152.9167,78.89,65,88,10.42,overcast clouds
214,Puerto Escondido,MX,15.85,-97.0667,77.18,56,67,7.67,broken clouds
215,Fort-Shevchenko,KZ,44.5086,50.263,34.21,60,0,7.67,clear sky
216,Pacific Grove,US,36.6177,-121.9166,65.28,92,100,1.99,fog
217,Aykhal,RU,66.0,111.5,-3.59,62,25,0.58,scattered clouds
218,Talnakh,RU,69.4865,88.3972,-7.37,70,10,8.66,clear sky
219,Saldanha,ZA,-33.0117,17.9442,64.45,88,0,12.44,clear sky
220,Fastiv,UA,50.0767,29.9177,28.02,79,16,9.04,few clouds
221,Ahipara,NZ,-35.1667,173.1667,70.43,57,13,11.77,few clouds
222,Bereda,ES,43.2686,-7.5406,44.35,100,94,6.33,overcast clouds
223,Brae,GB,60.3964,-1.353,39.11,90,100,27.0,overcast clouds
224,Dingle,PH,10.9995,122.6711,85.59,64,100,11.43,overcast clouds
225,Deer Lake,CA,49.1667,-57.4316,10.26,72,75,2.3,broken clouds
226,Astorga,BR,-23.2325,-51.6656,79.2,83,42,3.51,scattered clouds
227,Shingu,JP,33.7333,135.9833,49.19,70,100,5.37,overcast clouds
228,Bredasdorp,ZA,-34.5322,20.0403,65.52,77,100,5.75,overcast clouds
