City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Behbahan,IR,2022-02-11 19:14:15,30.5959,50.2417,60.57,69,38,3.89
121,Huarmey,PE,2022-02-11 19:14:16,-10.0681,-78.1522,75.83,71,45,10.98
122,Tateyama,JP,2022-02-11 19:14:16,34.9833,139.8667,39.22,67,12,12.08
123,Necochea,AR,2022-02-11 19:14:17,-38.5473,-58.7368,66.04,61,100,16.64
124,Isangel,VU,2022-02-11 19:14:18,-19.55,169.2667,80.71,83,75,2.3
125,Bardiyah,LY,2022-02-11 19:14:18,31.7561,25.0865,55.99,64,0,6.53
126,Kidal,ML,2022-02-11 19:14:19,18.4411,1.4078,74.88,9,59,9.08
127,Batagay-Alyta,RU,2022-02-11 19:14:19,67.8006,130.4114,-16.73,87,100,4.21
128,Bengbu,CN,2022-02-11 19:14:20,32.9408,117.3608,40.19,89,99,6.58
129,Concordia,AR,2022-02-11 19:10:58,-31.393,-58.0209,97.79,25,100,4.0
130,Wonogiri,ID,2022-02-11 19:14:21,-7.8144,110.9259,75.94,88,100,1.99
131,Asau,RO,2022-02-11 19:14:21,46.4333,26.4,38.32,89,19,5.75
132,Sao Joao Da Barra,BR,2022-02-11 19:14:22,-21.6403,-41.0511,82.49,83,100,10.04
133,Chuy,UY,2022-02-11 19:14:23,-33.6971,-53.4616,81.9,61,88,14.83
134,Fairbanks,US,2022-02-11 19:11:06,64.8378,-147.7164,-0.76,76,0,4.61
135,Sinnamary,GF,2022-02-11 19:15:24,5.3833,-52.95,78.91,85,44,10.13
136,Sivas,TR,2022-02-11 19:15:24,39.7916,37.0019,16.43,92,75,4.61
137,Manoel Urbano,BR,2022-02-11 19:15:25,-8.8389,-69.2597,85.14,67,100,4.76
138,Palu,ID,2022-02-11 19:15:25,-0.8917,119.8707,75.61,97,100,1.05
139,Sitka,US,2022-02-11 19:10:47,57.0531,-135.33,42.69,70,100,11.5
140,Kiruna,SE,2022-02-11 19:15:26,67.8557,20.2251,11.32,73,100,12.66
141,Elko,US,2022-02-11 19:15:07,41.0002,-115.5012,48.74,67,77,5.01
142,Kavaratti,IN,2022-02-11 19:15:27,10.5669,72.642,80.38,76,39,10.25
143,Hilo,US,2022-02-11 19:15:28,19.7297,-155.09,77.25,70,40,3.44
144,Zyryanka,RU,2022-02-11 19:15:28,65.75,150.85,-37.39,99,49,6.33
145,Beterou,BJ,2022-02-11 19:15:29,9.1992,2.2586,85.89,10,4,3.67
146,Cherskiy,RU,2022-02-11 19:15:29,68.75,161.3,-37.35,100,86,6.02
147,Pinyug,RU,2022-02-11 19:15:30,60.251,47.7842,24.03,97,100,5.5
148,Castro,BR,2022-02-11 19:15:21,-24.7911,-50.0119,80.2,45,16,2.26
149,Alice Springs,AU,2022-02-11 19:12:34,-23.7,133.8833,62.15,82,0,0.0
150,Urdoma,RU,2022-02-11 19:15:31,61.7533,48.5442,18.3,97,100,4.9
151,Teguldet,RU,2022-02-11 19:15:32,57.3064,88.1667,-10.26,98,15,5.5
152,Soe,ID,2022-02-11 19:15:32,-9.8607,124.284,66.54,95,99,0.92
153,Mount Isa,AU,2022-02-11 19:15:33,-20.7333,139.5,82.17,34,6,5.75
154,Hasaki,JP,2022-02-11 19:15:33,35.7333,140.8333,30.6,57,13,13.76
