City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Marawi,PH,72.64,broken clouds,7.9986,124.2928,Derogongan Residence
388,Dubti,ET,75.94,overcast clouds,11.7361,41.0853,degu Shiferaw
392,Namibe,AO,72.99,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
393,Port Lincoln,AU,72.41,few clouds,-34.7333,135.8667,Port Lincoln Hotel
402,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
406,Almeirim,BR,73.26,broken clouds,-1.5233,-52.5817,Ricácio Hotel
408,Ugoofaaru,MV,81.14,overcast clouds,5.6667,73.0,Ungoofaaru Inn
410,Pochutla,MX,77.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
411,Gold Coast,AU,81.77,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
413,Orange,US,73.56,clear sky,33.7,-117.7675,Meadows
418,Duekoue,CI,69.3,light rain,6.7472,-7.3496,L'Etoile
426,Sorong,ID,80.08,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
428,Montepuez,MZ,69.03,overcast clouds,-13.1256,38.9997,PembaAparthotel
430,Porto Velho,BR,73.45,clear sky,-8.7619,-63.9039,Hotel Central
443,Faanui,PF,81.1,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
449,Bombay,IN,75.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
451,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
456,San Juan,AR,75.74,clear sky,-31.5375,-68.5364,Hotel Provincial
460,Remanso,BR,73.72,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
466,Boyolangu,ID,79.02,moderate rain,-8.1181,111.8935,Yos ega cv
467,Biak,ID,82.71,broken clouds,-0.9131,122.8766,Penginapan Kim
469,Mabaruma,GY,70.11,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
471,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
473,Praia,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
477,Akyab,MM,74.53,clear sky,20.15,92.9,Hotel Memory
480,Victoria,HK,69.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
481,Punta Alta,AR,71.51,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
484,Bhainsdehi,IN,70.66,clear sky,21.6467,77.6325,Prince Rathore HOME
490,Puerto El Triunfo,SV,80.76,clear sky,13.2833,-88.55,Hotel Jardin
491,Cockburn Town,TC,77.59,clear sky,21.4612,-71.1419,Osprey Beach Hotel
494,Buin,CL,70.74,clear sky,-33.7333,-70.75,Paihuen
495,Yanam,IN,77.4,clear sky,16.7333,82.2167,The Regency Hotel
496,Pasighat,IN,69.13,clear sky,28.0667,95.3333,Siang Guest House
497,Rosarito,MX,71.15,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
500,Catio,GW,70.23,clear sky,11.2833,-15.25,Pausada Morabedja
508,Biltine,TD,70.16,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
510,Dicabisagan,PH,80.67,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
528,Bandarbeyla,SO,75.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
534,Port-Gentil,GA,80.64,overcast clouds,-0.7193,8.7815,Fengshui Residence
539,Sai Buri,TH,80.31,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
540,Moron,AR,71.35,clear sky,-34.6534,-58.6198,Hotel Morón
546,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
547,Pong,TH,75.99,broken clouds,19.1493,100.2752,999 Hotel
553,Hervey Bay,AU,80.71,light rain,-25.2986,152.8535,Shelly Bay Resort
559,Dibulla,CO,76.82,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
560,Carutapera,BR,77.02,overcast clouds,-1.195,-46.02,Lidera
561,Sao Jose Da Coroa Grande,BR,79.11,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
562,Bol,TD,71.56,few clouds,13.4586,14.7147,Hotel 3 Etoiles
566,Bodden Town,KY,77.0,few clouds,19.2833,-81.25,Will T Place
569,Bubaque,GW,77.95,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
571,Bibiani,GH,70.86,broken clouds,6.4635,-2.3194,Rodick Hotel
